ACC|ACCOUNTING
ADV|ADVERTISING
AER|AEROSPACE
AGR|AGRICULTURE
ALC|ALCOHOL AND DRUG ABUSE
ANI|ANIMALS
APP|APPAREL/CLOTHING INDUSTRY/TEXTILES
ART|ARTS/ENTERTAINMENT
AUT|AUTOMOTIVE INDUSTRY
AVI|AVIATION/AIRCRAFT/AIRLINES
BAN|BANKING
BNK|BANKRUPTCY
BEV|BEVERAGE INDUSTRY
BUD|BUDGET/APPROPRIATIONS
CHM|CHEMICALS/CHEMICAL INDUSTRY
CIV|CIVIL RIGHTS/CIVIL LIBERTIES
CAW|CLEAN AIR AND WATER (QUALITY0
CDT|COMMODITIES (BIG TICKET)
COM|COMMUNICATIONS/BROADCASTING/RADIO/TV
CPI|COMPUTER INDUSTRY
CON|CONSTITUTION
CSP|CONSUMER ISSUES/SAFETY/PRODUCTS
CPT|COPYRIGHT/PATENT/TRADEMARK
DEF|DEFENSE
DIS|DISASTER PLANNING/EMERGENCIES
DOC|DISTRICT OF COLUMBIA
ECN|ECONOMICS/ECONOMIC DEVELOPMENT
EDU|EDUCATION
ENG|ENERGY/NUCLEAR
ENV|ENVIRONMENT/SUPERFUND
FAM|FAMILY ISSUES/ABORTION/ADOPTION
FIN|FINANCIAL INSTITUTIONS/INVESTMENTS/SEC
FIR|FIREARMS/GUNS/AMMUNITION
FOO|FOOD INDUSTRY (SAFETY, LABELING, ETC.)
FOR|FOREIGN RELATIONS
FUE|FUEL/GAS/OIL
GAM|GAMING/GAMBLING/CASINO
GOV|GOVERNMENT ISSUES
HCR|HEALTH ISSUES
HOM|HOMELAND SECURITY
HOU|HOUSING
IMM|IMMIGRATION
IND|INDIAN/NATIVE/AMERICAN AFFAIRS
INS|INSURANCE
LBR|LABOR ISSUES/ANTITRUST/WORKPLACE
LAW|LAW ENFORCEMENT/CRIME/CRIMINAL JUSTICE
MAN|MANUFACTURING
MAR|MARINE/MARITIME/BOATING/FISHERIES
MIA|MEDIA (INFORMATION/PUBLISHING)
MED|MEDICAL/DISEASE RESEARCH/CLINICAL LABS
MMM|MEDICARE/MEDICAID
MON|MINTING/MONEY/GOLD STANDARD
NAT|NATURAL RESOURCES
PHA|PHARMACY
POS|POSTAL
RRR|RAILROADS
RES|REAL ESTATE/LAND USE/CONSERVATION
REL|RELIGION
RET|RETIREMENT
ROD|ROADS/HIGHWAY
SCI|SCIENCE/TECHNOLOGY
SMB|SMALL BUSINESS
SPO|SPORTS/ATHLETICS
TAR|TARIFF (MISCELLANEOUS TARIFF BILLS)
TAX|TAXATION/INTERNAL REVENUE CODE
TEC|TELECOMMUNICATIONS
TOB|TOBACCO
TOR|TORTS
TRD|TRADE (DOMESTIC/FOREIGN)
TRA|TRANSPORTATION
TOU|TRAVEL/TOURISM
TRU|TRUCKING/SHIPPING
UNM|UNEMPLOYMENT
URB|URBAN DEVELOPMENT/MUNICIPALITIES
UTI|UTILITIES
VET|VETERANS
WAS|WASTE (HAZARD/SOLID/INTERSTATE/NUCLEAR)
WEL|WELFARE
